team_fpl_id,team_opta_id,team_name,team_short_name,note_index,info_message,source_link,external_link,last_updated
1,3,Arsenal,ARS,1,Bukayo Saka and Martin Odegaard scored Arsenal's only two penalties of 2024/25. They came in the same game and each player scored with the other on the pitch.,,True,2026-03-31T23:55:19Z
1,3,Arsenal,ARS,2,"Saka and Odegaard missed spot-kicks in cup competitions last season, as did Leandro Trossard.",,True,2026-03-31T23:55:19Z
1,3,Arsenal,ARS,3,Media reports suggest new arrival Viktor Gyokeres will feature high up the penalty-taking pecking order.,,True,2026-03-31T23:55:19Z
2,7,Aston Villa,AVL,1,Aston Villa have yet to win a Premier League penalty this season but they've been awarded three in the Europa League. Ollie Watkins and Emi Buendia missed the first two before Donyell Malen scored from the spot in November.,,True,2026-03-31T23:55:19Z
2,7,Aston Villa,AVL,2,"Marco Asensio, Marcus Rashford and Jhon Duran all took penalties in 2024/25 but have since left the club.",,True,2026-03-31T23:55:19Z
4,91,Bournemouth,BOU,1,Evanilson took - and missed - Bournemouth's first spot-kick of 2024/25. Justin Kluivert then took and scored the next six.,,True,2026-03-31T23:55:19Z
4,91,Bournemouth,BOU,2,Antoine Semenyo took a penalty in the FA Cup in February with both Evanilson and Kluivert not on the field. Semenyo then took penalties in Gameweeks 4 and 11 of the current campaign but missed in the latter. Kluivert was not on the field for either kick.,,True,2026-03-31T23:55:19Z
4,91,Bournemouth,BOU,3,Marcus Tavernier scored a penalty with Kluivert and Semenyo absent in Gameweek 12.,,True,2026-03-31T23:55:19Z
5,94,Brentford,BRE,1,"Igor Thiago stepped up to take and score a penalty in Gameweek 1 of 2025/26. Kevin Schade missed from the spot in Gameweek 3, despite Thiago being present. Thiago then resumed taking spot-kicks for the Bees.",,True,2026-03-31T23:55:19Z
5,94,Brentford,BRE,2,Fabio Carvalho scored from the spot in an EFL Cup win over Grimsby in October but Thiago and Schade weren't on the field.,,True,2026-03-31T23:55:19Z
5,94,Brentford,BRE,3,"Mathias Jensen scored a penalty in the FA Cup win over Sheffield Wednesday in January but Thiago, Schade and Carvalho weren't on the field.",,True,2026-03-31T23:55:19Z
6,36,Brighton,BHA,1,"Joao Pedro scored the first five of Brighton's penalties in 2024/25 but has since left the club. Danny Welbeck took and scored one with Pedro absent in May, with Matt O'Riley doing likewise on the final day with Welbeck and Pedro not present.",,True,2026-03-31T23:55:19Z
6,36,Brighton,BHA,2,James Milner scored from the spot in Gameweek 3 of 2025/26 with both Welbeck and O'Riley off the field.,,True,2026-03-31T23:55:19Z
3,90,Burnley,BUR,1,Zian Flemming took and scored Burnley's first penalty of the season in Gameweek 13.,,True,2026-03-31T23:55:19Z
3,90,Burnley,BUR,2,"Josh Brownhill and Jay Rodriguez took all of Burnley's penalties in 2024/25 but have now left the club. Two players who have rejoined the Clarets, Ashley Barnes and Jacob Bruun Larsen, have taken spot-kicks for Burnley in their previous spells.",,True,2026-03-31T23:55:19Z
7,8,Chelsea,CHE,1,Cole Palmer took all of Chelsea's penalties in the league in 2024/25.,,True,2026-03-31T23:55:19Z
7,8,Chelsea,CHE,2,Enzo Fernandez deputised on penalties in 2023/24 and stepped up to take one in Gameweek 3 of 2025/26 when Palmer was injured.,,True,2026-03-31T23:55:19Z
7,8,Chelsea,CHE,3,Enzo and Estevao both scored penalties in the Champions League match against Ajax in October. Each player was on the field when the other netted.,,True,2026-03-31T23:55:19Z
8,31,Crystal Palace,CRY,1,"Jean-Philippe Mateta converted Palace's first two league spot-kicks of 2024/25, with Eberechi Eze taking the next two. Eze has since left the club. Mateta has been on penalties since.",,True,2026-03-31T23:55:19Z
9,11,Everton,EVE,1,"Iliman Ndiaye took all of Everton's penalties in 2024/25, while long-term taker Dominic Calvert-Lewin has now left the club. Beto last took a competitive one in May 2024 and missed but scored another in July 2025 in a friendly. Ndiaye wasn't present.",,True,2026-03-31T23:55:19Z
10,54,Fulham,FUL,1,"Raul Jimenez took and scored five penalties for Fulham in all competitions last season, with Andreas Pereira missing his only attempt.",,True,2026-03-31T23:55:19Z
10,54,Fulham,FUL,2,Harry Wilson scored from the spot in pre-season with Jimenez not present.,,True,2026-03-31T23:55:19Z
11,2,Leeds,LEE,1,Pascal Struijk took four of Leeds' five penalties in 2024/25 and was off the field when Joel Piroe scored the other in February.,,True,2026-03-31T23:55:19Z
11,2,Leeds,LEE,2,"Piroe netted from the spot in pre-season with Struijk on the field, while Lukas Nmecha did likewise in Gameweek 1 - but Piroe had been substituted by that point. Nmecha missed from the spot in Gameweek 13 with Piroe again off the field but Struijk on it.",,True,2026-03-31T23:55:19Z
12,14,Liverpool,LIV,1,"Mohamed Salah took 12 Liverpool penalties in all competitions in 2024/25, scoring all but one of them. Cody Gakpo deputised from 12 yards in the Champions League in January when Salah was absent. Alexis Mac Allister scored two the previous season when covering for Salah.",,True,2026-03-31T23:55:19Z
13,43,Man City,MCI,1,"Erling Haaland was the regular taker in 2024/25 but Omar Marmoush surprisingly stepped up to take one - and missed - in the FA Cup final in May. Jack Grealish, Jeremy Doku and Matheus Nunes also all scored one penalty apiece in cup competitions.",,True,2026-03-31T23:55:19Z
14,1,Man Utd,MUN,1,"Bruno Fernandes has been United's main taker for several seasons. Others who have taken a spot-kick in the last two years include Christian Eriksen, who has left the club, and Marcus Rashford and Antony, who were out on loan in 2024/25.",,True,2026-03-31T23:55:19Z
15,4,Newcastle,NEW,1,"Alexander Isak was Newcastle's first-choice taker in 2024/25, with Anthony Gordon deputising in his absence. Fabian Schar also scored from the spot in the EFL Cup in October, when both Gordon and Isak were not on the field.",,True,2026-03-31T23:55:19Z
16,17,Nott'm Forest,NFO,1,Chris Wood took all of Forest's penalties last season.,,True,2026-03-31T23:55:19Z
16,17,Nott'm Forest,NFO,2,Morgan Gibbs-White and Igor Jesus both took and scored one in each other's presence in the Europa League win over Porto in October. Gibbs-White then missed a spot-kick in the draw with Sturm Graz in November. Wood was absent for both games.,,True,2026-03-31T23:55:19Z
16,17,Nott'm Forest,NFO,3,"Elliot Anderson converted a penalty in Gameweek 11 but Wood, Gibbs-White and Jesus were either absent or off the field.",,True,2026-03-31T23:55:19Z
17,56,Sunderland,SUN,1,Enzo Le Fee scored a penalty in Gameweek 3 but suggested that Habib Diarra would take the next one. Diarra was injured when Sunderland next won a spot-kick in Gameweek 13 - and Le Fee also converted that one.,,True,2026-03-31T23:55:19Z
17,56,Sunderland,SUN,2,"Sunderland missed four of their five penalties in 2024/25, with Patrick Roberts the only one to score. Roberts, Wilson Isidor (twice) and Luke O'Nien all missed. O'Nien was the last to take one and afterwards, manager Regis Le Bris suggested that he had another taker in mind but didn't say who it was. Eliezer Mayenda then missed in pre-season of 2025/26.",,True,2026-03-31T23:55:19Z
18,6,Spurs,TOT,1,"Dominic Solanke took Spurs' last three penalties of 2024/25 but Son Heung-min was absent for all of them. By contrast, Solanke was present for all three of the spot-kicks that Son had taken earlier in the campaign. Mathys Tel and Richarlison deputised when neither of the above were on the field.",,True,2026-03-31T23:55:19Z
18,6,Spurs,TOT,2,Richarlison took and missed a penalty in the Champions League match against Copenhagen in November of this season. Solanke was injured for that game.,,True,2026-03-31T23:55:19Z
19,21,West Ham,WHU,1,"Lucas Paqueta took two of West Ham's three penalties last season, with Jarrod Bowen deputising when Paqueta wasn't on the field.",,True,2026-03-31T23:55:19Z
20,39,Wolves,WOL,1,"Wolves didn't get a single spot-kick in 2024/25. Matheus Cunha, Hwang Hee-chan and Pablo Sarabia all scored penalties the previous season but Cunha and Sarabia have since left the club.",,True,2026-03-31T23:55:19Z
20,39,Wolves,WOL,2,Jorgen Strand Larsen scored a penalty in Gameweek 9 of the current campaign but Hwang was off the field.,,True,2026-03-31T23:55:19Z
20,39,Wolves,WOL,3,Hwang took and missed a penalty in the EFL Cup match against West Ham in August of this season. Strand Larsen was off the field.,,True,2026-03-31T23:55:19Z
